"inst","name","city","uint"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Floris Geerts","Edinburgh","1.8409090909090908"
"University of Oxford, Oxford, United Kingdom","Georg Gottlob","Oxford","1.8409090909090908"
"EMPTY","Pablo Barcel","EMPTY","1.8409090909090908"
"University of Edinburgh, Edinburgh, United Kingdom","Floris Geerts","EMPTY","1.8409090909090908"
"University of Oxford, Oxford, United Kingdom","Georg Gottlob","EMPTY","1.8409090909090908"
"University of Edinburgh, Edinburgh, United Kingdom","Floris Geerts","Edinburgh","1.8409090909090908"
"EMPTY","Juan L. Reutter","Santiago","1.8181818181818181"
"EMPTY","Juan L. Reutter","EMPTY","1.8181818181818181"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Wenfei Fan","EMPTY","1.813953488372093"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Wenfei Fan","Edinburgh","1.813953488372093"
"EMPTY","Frank Neven","Edinburgh","1.8"
"EMPTY","Antonella Poggi","EMPTY","1.8"
"University of Toronto and University of Edinburgh","Leonid Libkin","EMPTY","1.8"
"Oxford University","Georg Gottlob","Oxford","1.8"
"EMPTY","Filip Murlak","Edinburgh","1.8"
"University of Toronto and University of Edinburgh","EMPTY","Edinburgh","1.8"
"EMPTY","Antonella Poggi","Edinburgh","1.8"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Juan L. Reutter","Edinburgh","1.8"
"EMPTY","Marcelo Arenas","Edinburgh","1.8"
"EMPTY","Filip Murlak","EMPTY","1.8"
"EMPTY","Serge Abiteboul","EMPTY","1.8"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Frank Neven","Edinburgh","1.8"
"EMPTY","Marcelo Arenas","EMPTY","1.8"
"EMPTY","Diego Figueira","EMPTY","1.8"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Frank Neven","EMPTY","1.8"
"University of Toronto and University of Edinburgh","EMPTY","EMPTY","1.8"
"EMPTY","Cristina Sirangelo","Edinburgh","1.8"
"Oxford University","Georg Gottlob","EMPTY","1.8"
"University of Edinburgh, Edinburgh, United Kingdom","Filip Murlak","EMPTY","1.8"
"Oxford University","EMPTY","EMPTY","1.8"
"EMPTY","Frank Neven","EMPTY","1.8"
"EMPTY","Pierre Senellart","EMPTY","1.8"
"University of Edinburgh, Edinburgh, United Kingdom","Filip Murlak","Edinburgh","1.8"
"EMPTY","Reinhard Pichler","EMPTY","1.8"
"Oxford University","EMPTY","Oxford","1.8"
"University of Toronto and University of Edinburgh","Leonid Libkin","Edinburgh","1.8"
"EMPTY","Cristina Sirangelo","EMPTY","1.8"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Juan L. Reutter","EMPTY","1.8"
"EMPTY","Jorge Prez 0001","EMPTY","1.8"
"EMPTY","Diego Figueira","Edinburgh","1.8"
"EMPTY","Jorge Prez 0001","Edinburgh","1.8"
"EMPTY","Pierre Senellart","Oxford","1.8"
"EMPTY","Michael Benedikt","EMPTY","1.7954545454545454"
"University of Oxford, Oxford, United Kingdom","EMPTY","EMPTY","1.7954545454545454"
"University of Edinburgh, Edinburgh, United Kingdom","Wenfei Fan","EMPTY","1.7954545454545454"
"University of Oxford, Oxford, United Kingdom","EMPTY","Oxford","1.7954545454545454"
"University of Edinburgh, Edinburgh, United Kingdom","Wenfei Fan","Edinburgh","1.7954545454545454"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Wang Chiew Tan","Edinburgh","1.7777777777777777"
"Department of Computer Science, Univ. of Chile, Santiago, Chile","Juan L. Reutter","EMPTY","1.7777777777777777"
"University of Edinburgh, Edinburgh, United Kngdm","EMPTY","EMPTY","1.7777777777777777"
"Department of Computer Science, Univ. of Chile, Santiago, Chile","EMPTY","Santiago","1.7777777777777777"
"University of Edinburgh, Edinburgh, United Kngdm","EMPTY","Edinburgh","1.7777777777777777"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Wang Chiew Tan","EMPTY","1.7777777777777777"
"EMPTY","EMPTY","Santa Cruz","1.7777777777777777"
"Department of Computer Science, Univ. of Chile, Santiago, Chile","Juan L. Reutter","Santiago","1.7777777777777777"
"Department of Computer Science, Univ. of Chile, Santiago, Chile","EMPTY","EMPTY","1.7777777777777777"
"Bell Laboratories, 263 Shuman Blvd, Naperville, IL","EMPTY","EMPTY","1.7608695652173914"
"EMPTY","Mark J. Wheelhouse","EMPTY","1.7608695652173914"
"Univ. of Edinburgh, Edinburgh, United Kingdom","Pablo Barcel","Edinburgh","1.7608695652173914"
"Birkbeck, U. London, London, United Kingdom","Leonid Libkin","London","1.7608695652173914"
"EMPTY","Thomas Schwentick","EMPTY","1.7608695652173914"
"University of Oxford, Oxford, United Kingdom","Pierre Senellart","EMPTY","1.7608695652173914"
"University of Chile, Santiago, Chile","EMPTY","EMPTY","1.7608695652173914"
"EMPTY","Peter Buneman","Diepenbeek","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kingdom","Cristina Sirangelo","EMPTY","1.7608695652173914"
"Computing Laboratory, University of Oxford, Oxford, United Kingdom","Gregory Valiant","EMPTY","1.7608695652173914"
"Oxford University, Oxford, England UK","Cristian Riveros","EMPTY","1.7608695652173914"
"Univ. of Edinburgh, Edinburgh, United Kingdom","Peter T. Wood","Edinburgh","1.7608695652173914"
"EMPTY","Peter T. Wood","Santiago","1.7608695652173914"
"University of Edinburgh, Edinburgh, Scotland UK","Cristian Riveros","EMPTY","1.7608695652173914"
"EMPTY","Bogdan Cautis","Scholes","1.7608695652173914"
"University of California, Santa Cruz, CA","EMPTY","Santa Cruz","1.7608695652173914"
"Oxford University","Fang Wei 0001","Oxford","1.7608695652173914"
"University of Oxford, Oxford, United Kingdom","Andrea Cal","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, Scotland UK","Cristian Riveros","Edinburgh","1.7608695652173914"
"ENS-Cachan, Cachan, France","EMPTY","Cachan","1.7608695652173914"
"University of Oxford, Oxford, United Kingdom","Andrea Cal","Oxford","1.7608695652173914"
"EMPTY","Mark J. Wheelhouse","London","1.7608695652173914"
"University of Edinburgh/Bell Labs, Edinburgh, United Kingdom","Floris Geerts","Edinburgh","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kingdom","Antonella Poggi","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kingdom","Pablo Barcel","Edinburgh","1.7608695652173914"
"University of Cambridge, Cambridge, U.K.","EMPTY","EMPTY","1.7608695652173914"
"Oxford, Oxford, United Kingdom","EMPTY","EMPTY","1.7608695652173914"
"EMPTY","EMPTY","Naperville","1.7608695652173914"
"University of Edinburgh & Harbin Institute of Technology, Edinburgh, United Kingdom","Wenfei Fan","EMPTY","1.7608695652173914"
"Department of Computer Science, University of Toronto, 6, King's College Road, Toronto, On tario M5S 3H5, Canada","EMPTY","EMPTY","1.7608695652173914"
"Oxford University, Oxford, United Kingdom","Bruno Marnette","Oxford","1.7608695652173914"
"Birkbeck, U. London, London, United Kingdom","Pablo Barcel","London","1.7608695652173914"
"Computing Laboratory, University of Oxford, Oxford, United Kingdom","Stephanie Tien Lee","EMPTY","1.7608695652173914"
"EMPTY","Solmaz Kolahi","EMPTY","1.7608695652173914"
"Univ. of Chile, Santiago, Chile","Leonid Libkin","EMPTY","1.7608695652173914"
"Universitat Politécnica de, Catalunya, Barcelona, Spain","EMPTY","EMPTY","1.7608695652173914"
"Oxford University, Oxford, England UK","Jorge Prez 0001","EMPTY","1.7608695652173914"
"PUC Chile, Santiago, Chile","EMPTY","Santiago","1.7608695652173914"
"oxford, Oxford, United Kingdom","Michael Benedikt","EMPTY","1.7608695652173914"
"University of Oxford, Oxford, United Kingdom","Serge Abiteboul","EMPTY","1.7608695652173914"
"EMPTY","Peter T. Wood","London","1.7608695652173914"
"EMPTY","Gareth Smith","London","1.7608695652173914"
"EMPTY","Marcelo Arenas","Oxford","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kingdom","Mikolaj Bojanczyk","Edinburgh","1.7608695652173914"
"oxford, Oxford, United Kingdom","EMPTY","Oxford","1.7608695652173914"
"University of Edinburgh & Harbin Institute of Technology, Edinburgh, United Kingdom","Floris Geerts","Edinburgh","1.7608695652173914"
"Department of Computer Science, University of Toronto, 6, King's College Road, Toronto, On tario M5S 3H5, Canada","Leonid Libkin","Toronto","1.7608695652173914"
"Univ. of Chile, Santiago, Chile","Peter T. Wood","Santiago","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Jorge Prez 0001","EMPTY","1.7608695652173914"
"University of Warsaw, Warsaw, Poland","Leonid Libkin","Warsaw","1.7608695652173914"
"Oxford University, Oxford, England UK","Juan L. Reutter","Oxford","1.7608695652173914"
"EMPTY","Uri Zarfaty","London","1.7608695652173914"
"EMPTY","Anuj Dawar","Barcelona","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Marcelo Arenas","EMPTY","1.7608695652173914"
"Department of Computing and Electrical Engineering, Heriot-Watt University, Edinburgh EH14 4AS, Scotland, UK","EMPTY","EMPTY","1.7608695652173914"
"Department of Computing and Electrical Engineering, Heriot-Watt University, Edinburgh EH14 4AS, Scotland, UK","Yehoshua Sagiv","Currie","1.7608695652173914"
"Center for Statistics, Hasselt University, Agoralaan, B-3590 Diepenbeek, Belgium","Peter Buneman","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, Scotland UK","Juan L. Reutter","Edinburgh","1.7608695652173914"
"Department of Computer Science, University of Toronto, Toronto ON M5S 3H5, Canada","Leonid Libkin","Toronto","1.7608695652173914"
"Imperial College, London, United Kngdm","Philippa Gardner","London","1.7608695652173914"
"Birkbeck, U. London, London, United Kingdom","Carlos A. Hurtado","London","1.7608695652173914"
"EMPTY","Fang Wei 0001","Oxford","1.7608695652173914"
"ENS-Cachan, Cachan, France","EMPTY","EMPTY","1.7608695652173914"
"U. Paris Sud","Bogdan Cautis","Scholes","1.7608695652173914"
"University of Edinburgh, Edinburgh, Scotland UK","Marcelo Arenas","Edinburgh","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kingdom","Cristina Sirangelo","Edinburgh","1.7608695652173914"
"Imperial College, London, United Kngdm","Uri Zarfaty","London","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kngdm","Frank Neven","Edinburgh","1.7608695652173914"
"Univ. of Limburg & Univ. of Edinburgh","EMPTY","EMPTY","1.7608695652173914"
"Univ. of Chile, Santiago, Chile","EMPTY","Santiago","1.7608695652173914"
"EMPTY","Reinhard Pichler","Edinburgh","1.7608695652173914"
"EMPTY","Gregory Valiant","EMPTY","1.7608695652173914"
"EMPTY","Gregory Valiant","Oxford","1.7608695652173914"
"U. Paris Sud","Serge Abiteboul","EMPTY","1.7608695652173914"
"INRIA, Domaine de Voluceau, 78150 Rocquencourt, France","Leonid Libkin","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kingdom","Claire David","Edinburgh","1.7608695652173914"
"University of Edinburgh, Edinburgh, UK","Reinhard Pichler","Edinburgh","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Stijn Vansummeren","EMPTY","1.7608695652173914"
"Bell Laboratories, 263 Shuman Blvd, Naperville, IL","Leonid Libkin","EMPTY","1.7608695652173914"
"University of Edinburgh/Bell Labs, Edinburgh, United Kingdom","Floris Geerts","EMPTY","1.7608695652173914"
"Imperial College, London, United Kngdm","EMPTY","EMPTY","1.7608695652173914"
"EMPTY","EMPTY","Warsaw","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Pablo Barcel","Edinburgh","1.7608695652173914"
"U. Paris Sud","Serge Abiteboul","Scholes","1.7608695652173914"
"EMPTY","Stephanie Tien Lee","Oxford","1.7608695652173914"
"EMPTY","Serge Abiteboul","Scholes","1.7608695652173914"
"Department of Computer Science, Univ. of Chile, Santiago, Chile","Leonid Libkin","EMPTY","1.7608695652173914"
"EMPTY","Leonid Libkin","San Jose","1.7608695652173914"
"University of Cambridge, Cambridge, U.K.","Anuj Dawar","Cambridge","1.7608695652173914"
"Bell Laboratories","EMPTY","EMPTY","1.7608695652173914"
"EMPTY","EMPTY","Cachan","1.7608695652173914"
"Bell Laboratories, 263 Shuman Blvd, Naperville, IL","Leonid Libkin","Naperville","1.7608695652173914"
"University of Edinburgh & Harbin Institute of Technology, Edinburgh, United Kingdom","Wenfei Fan","Edinburgh","1.7608695652173914"
"EMPTY","Shun'ichi Amano","Edinburgh","1.7608695652173914"
"University of Toronto and University of Edinburgh","Solmaz Kolahi","Edinburgh","1.7608695652173914"
"Univ. A. Ibanez, Santiago, Chile","Leonid Libkin","EMPTY","1.7608695652173914"
"Univ. A. Ibanez, Santiago, Chile","EMPTY","Santiago","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kngdm","Cristina Sirangelo","EMPTY","1.7608695652173914"
"Oxford University","Alan Nash","Oxford","1.7608695652173914"
"Univ. A. Ibanez, Santiago, Chile","Peter T. Wood","EMPTY","1.7608695652173914"
"Oxford University, Oxford, England UK","Cristian Riveros","Oxford","1.7608695652173914"
"Computing Laboratory and Oxford Man Institute of Quantitative Finance, University of Oxford, Oxford, United Kingdom","EMPTY","EMPTY","1.7608695652173914"
"Oxford University, Oxford, England UK","Juan L. Reutter","EMPTY","1.7608695652173914"
"Univ. A. Ibanez, Santiago, Chile","Peter T. Wood","Santiago","1.7608695652173914"
"EMPTY","James Cheney","Diepenbeek","1.7608695652173914"
"NetXen, Inc., Santa Clara, CA, USA","Leonid Libkin","San Jose","1.7608695652173914"
"Birkbeck, U. London, London, United Kingdom","Leonid Libkin","EMPTY","1.7608695652173914"
"Computing Laboratory and Oxford Man Institute of Quantitative Finance, University of Oxford, Oxford, United Kingdom","Gregory Valiant","Oxford","1.7608695652173914"
"Department of Statistics, University of Oxford, OX1 3TG, UK","Damien Sereni","Oxford","1.7608695652173914"
"EMPTY","Peter T. Wood","EMPTY","1.7608695652173914"
"Bell Labs and Temple University, 600 Mountain Avenue, Murray Hill, NJ","Leonid Libkin","Berkeley Heights","1.7608695652173914"
"Department of Applied Mathematics and Statistics, 1156 High Street, University of California, Santa Cruz, CA 95064, USA","EMPTY","EMPTY","1.7608695652173914"
"Università di Roma ""La Sapienza"", Via Salaria 113, Roma, Italy","Andrea Cal","Rome","1.7608695652173914"
"Univ. of Edinburgh, Edinburgh, United Kingdom","Leonid Libkin","Edinburgh","1.7608695652173914"
"University of Oxford, Oxford, United Kingdom","Michael Benedikt","Oxford","1.7608695652173914"
"Oxford, Oxford, United Kingdom","Huy Vu","EMPTY","1.7608695652173914"
"Oxford University, Oxford, England UK","Jorge Prez 0001","Oxford","1.7608695652173914"
"INRIA, Domaine de Voluceau, 78150 Rocquencourt, France","Leonid Libkin","Rocquencourt","1.7608695652173914"
"University of Edinburgh, Edinburgh, Scotland UK","Jorge Prez 0001","EMPTY","1.7608695652173914"
"PUC Chile, Santiago, Chile","EMPTY","EMPTY","1.7608695652173914"
"Computing Laboratory, University of Oxford, Oxford, United Kingdom","Stephanie Tien Lee","Oxford","1.7608695652173914"
"Department of Statistics, University of Oxford, OX1 3TG, UK","Pavel Avgustinov","Oxford","1.7608695652173914"
"oxford, Oxford, United Kingdom","Gabriele Puppis","Oxford","1.7608695652173914"
"EMPTY","EMPTY","Diepenbeek","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Antonella Poggi","Edinburgh","1.7608695652173914"
"EMPTY","Wouter Gelade","Edinburgh","1.7608695652173914"
"Department of Applied Mathematics and Statistics, 1156 High Street, University of California, Santa Cruz, CA 95064, USA","Peter Buneman","Santa Cruz","1.7608695652173914"
"Department of Statistics, University of Oxford, OX1 3TG, UK","Oege de Moor","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, UK","Reinhard Pichler","EMPTY","1.7608695652173914"
"Department of Statistics, University of Oxford, OX1 3TG, UK","Pavel Avgustinov","EMPTY","1.7608695652173914"
"Birkbeck, U. London, London, United Kingdom","Peter T. Wood","EMPTY","1.7608695652173914"
"Department of Applied Mathematics and Statistics, 1156 High Street, University of California, Santa Cruz, CA 95064, USA","James Cheney","Santa Cruz","1.7608695652173914"
"EMPTY","James Cheney","Santa Cruz","1.7608695652173914"
"EMPTY","Pablo Barcel","London","1.7608695652173914"
"oxford, Oxford, United Kingdom","Gabriele Puppis","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kngdm","Cristina Sirangelo","Edinburgh","1.7608695652173914"
"EMPTY","Yehoshua Sagiv","EMPTY","1.7608695652173914"
"INRIA, Domaine de Voluceau, 78150 Rocquencourt, France","EMPTY","Rocquencourt","1.7608695652173914"
"Center for Statistics, Hasselt University, Agoralaan, B-3590 Diepenbeek, Belgium","James Cheney","Diepenbeek","1.7608695652173914"
"University of Edinburgh, Edinburgh, UK","Christoph Koch 0001","EMPTY","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Pablo Barcel","EMPTY","1.7608695652173914"
"EMPTY","Mathieu Verbaere","Oxford","1.7608695652173914"
"Oxford University","Fang Wei 0001","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, Scotland UK","Marcelo Arenas","EMPTY","1.7608695652173914"
"EMPTY","Reinhard Pichler","Oxford","1.7608695652173914"
"EMPTY","Wouter Gelade","EMPTY","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Diego Figueira","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kngdm","Wenfei Fan","EMPTY","1.7608695652173914"
"Univ. of Edinburgh, Edinburgh, United Kingdom","Leonid Libkin","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kngdm","Antonella Poggi","Edinburgh","1.7608695652173914"
"EMPTY","Mathieu Verbaere","EMPTY","1.7608695652173914"
"Oxford, Oxford, United Kingdom","Huy Vu","Oxford","1.7608695652173914"
"oxford, Oxford, United Kingdom","Michael Benedikt","Oxford","1.7608695652173914"
"Imperial College, London, United Kngdm","EMPTY","London","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Wouter Gelade","Edinburgh","1.7608695652173914"
"University of Edinburgh","Floris Geerts","EMPTY","1.7608695652173914"
"University of California, Santa Cruz, CA","Anuj Dawar","EMPTY","1.7608695652173914"
"University of Cambridge, Cambridge, U.K.","Anuj Dawar","EMPTY","1.7608695652173914"
"INRIA, Domaine de Voluceau, 78150 Rocquencourt, France","EMPTY","EMPTY","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Marcelo Arenas","Edinburgh","1.7608695652173914"
"Oxford University, Oxford, England UK","Marcelo Arenas","EMPTY","1.7608695652173914"
"Univ. of Edinburgh, Edinburgh, United Kingdom","EMPTY","EMPTY","1.7608695652173914"
"Center for Statistics, Hasselt University, Agoralaan, B-3590 Diepenbeek, Belgium","EMPTY","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kingdom","Antonella Poggi","Edinburgh","1.7608695652173914"
"Imperial College, London, United Kngdm","Gareth Smith","EMPTY","1.7608695652173914"
"Univ. of Limburg & Univ. of Edinburgh","Wenfei Fan","Edinburgh","1.7608695652173914"
"EMPTY","Alan Nash","Oxford","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Stijn Vansummeren","Edinburgh","1.7608695652173914"
"EMPTY","Fang Wei 0001","EMPTY","1.7608695652173914"
"Univ. of Limburg & Univ. of Edinburgh","EMPTY","Edinburgh","1.7608695652173914"
"EMPTY","Albert Atserias","EMPTY","1.7608695652173914"
"EMPTY","EMPTY","Barcelona","1.7608695652173914"
"Univ. of Edinburgh, Edinburgh, United Kingdom","Carlos A. Hurtado","Edinburgh","1.7608695652173914"
"oxford, Oxford, United Kingdom","EMPTY","EMPTY","1.7608695652173914"
"Oxford University, Oxford, England UK","EMPTY","Oxford","1.7608695652173914"
"Department of Computer Science, University of Toronto, Toronto ON M5S 3H5, Canada","EMPTY","Toronto","1.7608695652173914"
"EMPTY","EMPTY","Scholes","1.7608695652173914"
"EMPTY","Marco Manna","EMPTY","1.7608695652173914"
"U. Paris Sud","Tova Milo","Scholes","1.7608695652173914"
"Center for Statistics, Hasselt University, Agoralaan, B-3590 Diepenbeek, Belgium","James Cheney","EMPTY","1.7608695652173914"
"EMPTY","EMPTY","Berkeley Heights","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kingdom","Shun'ichi Amano","Edinburgh","1.7608695652173914"
"EMPTY","Yehoshua Sagiv","Currie","1.7608695652173914"
"University of Oxford","Thomas Schwentick","Oxford","1.7608695652173914"
"Institut fülr Informatik, Friedrich-Schiller-Univ ersitát Jena, Ernst-Abbe-Platz 3, 07740 Jena, Germany","Leonid Libkin","Jena","1.7608695652173914"
"University of Chile, Santiago, Chile","EMPTY","Santiago","1.7608695652173914"
"Computing Laboratory and Oxford Man Institute of Quantitative Finance, University of Oxford, Oxford, United Kingdom","Georg Gottlob","Oxford","1.7608695652173914"
"Universitat Politécnica de, Catalunya, Barcelona, Spain","EMPTY","Barcelona","1.7608695652173914"
"Institut fülr Informatik, Friedrich-Schiller-Univ ersitát Jena, Ernst-Abbe-Platz 3, 07740 Jena, Germany","EMPTY","EMPTY","1.7608695652173914"
"University of Edinburgh & Harbin Institute of Technology, Edinburgh, United Kingdom","EMPTY","EMPTY","1.7608695652173914"
"Department of Computing and Electrical Engineering, Heriot-Watt University, Edinburgh EH14 4AS, Scotland, UK","Werner Nutt","EMPTY","1.7608695652173914"
"PUC Chile, Santiago, Chile","Juan L. Reutter","EMPTY","1.7608695652173914"
"EMPTY","Alan Nash","EMPTY","1.7608695652173914"
"Sapienza University of Rome, Rome, Italy","EMPTY","Roma","1.7608695652173914"
"EMPTY","Bruno Marnette","EMPTY","1.7608695652173914"
"Università di Roma ""La Sapienza"", Via Salaria 113, Roma, Italy","Andrea Cal","EMPTY","1.7608695652173914"
"EMPTY","Carlos A. Hurtado","London","1.7608695652173914"
"EMPTY","Tova Milo","EMPTY","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kngdm","Wenfei Fan","Edinburgh","1.7608695652173914"
"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com","Wouter Gelade","EMPTY","1.7608695652173914"
"EMPTY","Mikolaj Bojanczyk","EMPTY","1.7608695652173914"
"Department of Computer Science, University of Toronto, 6, King's College Road, Toronto, On tario M5S 3H5, Canada","EMPTY","Toronto","1.7608695652173914"
"University of Warsaw, Warsaw, Poland","EMPTY","EMPTY","1.7608695652173914"
"Department of Statistics, University of Oxford, OX1 3TG, UK","Mathieu Verbaere","Oxford","1.7608695652173914"
"University of Warsaw, Warsaw, Poland","Leonid Libkin","EMPTY","1.7608695652173914"
"University of Edinburgh/Bell Labs, Edinburgh, United Kingdom","EMPTY","Edinburgh","1.7608695652173914"
"Computing Laboratory and Oxford Man Institute of Quantitative Finance, University of Oxford, Oxford, United Kingdom","Gregory Valiant","EMPTY","1.7608695652173914"
"EMPTY","Cristian Riveros","Edinburgh","1.7608695652173914"
"University of Edinburgh, Edinburgh, United Kngdm","Wouter Gelade","Edinburgh","1.7608695652173914"
"Oxford University, Oxford, United Kingdom","Bruno Marnette","EMPTY","1.7608695652173914"
"Univ. of Edinburgh, Edinburgh, United Kingdom","Carlos A. Hurtado","EMPTY","1.7608695652173914"
"Center for Statistics, Hasselt University, Agoralaan, B-3590 Diepenbeek, Belgium","EMPTY","Diepenbeek","1.7608695652173914"
"EMPTY","Huy Vu","EMPTY","1.7608695652173914"
"EMPTY","Huy Vu","Oxford","1.7608695652173914"
"Univ. A. Ibanez, Santiago, Chile","Leonid Libkin","Santiago","1.7608695652173914"
"University of Oxford, Oxford, United Kingdom","Thomas Lukasiewicz","EMPTY","1.7608695652173914"
"University of Edinburgh/Bell Labs, Edinburgh, United Kingdom","EMPTY","EMPTY","1.7608695652173914"
"Department of Computing and Electrical Engineering, Heriot-Watt University, Edinburgh EH14 4AS, Scotland, UK","Sara Cohen","Currie","1.7608695652173914"
"EMPTY","Leonid Libkin","Jena","1.7608695652173914"
"Univ. of Chile, Santiago, Chile","EMPTY","EMPTY","1.7608695652173914"
"EMPTY","Sara Cohen","EMPTY","1.7608695652173914"
